image_name,cone_count,total_area_pixels,individual_areas
cone_0020.png,12,9699,cone_1: 1875px | cone_2: 1175px | cone_3: 1830px | cone_4: 350px | cone_5: 374px | cone_6: 429px | cone_7: 583px | cone_8: 913px | cone_9: 911px | cone_10: 93px | cone_11: 702px | cone_12: 464px
cone_0095.png,13,9706,cone_1: 1850px | cone_2: 1162px | cone_3: 1844px | cone_4: 322px | cone_5: 893px | cone_6: 378px | cone_7: 557px | cone_8: 382px | cone_9: 478px | cone_10: 539px | cone_11: 92px | cone_12: 725px | cone_13: 484px
cone_0055.png,13,9734,cone_1: 1893px | cone_2: 1216px | cone_3: 1805px | cone_4: 331px | cone_5: 920px | cone_6: 575px | cone_7: 729px | cone_8: 385px | cone_9: 423px | cone_10: 467px | cone_11: 114px | cone_12: 455px | cone_13: 421px
cone_0025.png,12,9769,cone_1: 1899px | cone_2: 1224px | cone_3: 1847px | cone_4: 332px | cone_5: 577px | cone_6: 441px | cone_7: 383px | cone_8: 920px | cone_9: 701px | cone_10: 905px | cone_11: 439px | cone_12: 101px
cone_0035.png,13,9861,cone_1: 1201px | cone_2: 1895px | cone_3: 1888px | cone_4: 328px | cone_5: 424px | cone_6: 577px | cone_7: 927px | cone_8: 367px | cone_9: 679px | cone_10: 929px | cone_11: 470px | cone_12: 82px | cone_13: 94px
cone_0065.png,13,9871,cone_1: 1924px | cone_2: 1245px | cone_3: 1785px | cone_4: 338px | cone_5: 399px | cone_6: 918px | cone_7: 646px | cone_8: 389px | cone_9: 120px | cone_10: 733px | cone_11: 488px | cone_12: 409px | cone_13: 477px
cone_0185.png,12,9917,cone_1: 1906px | cone_2: 1271px | cone_3: 1855px | cone_4: 337px | cone_5: 380px | cone_6: 561px | cone_7: 911px | cone_8: 393px | cone_9: 499px | cone_10: 489px | cone_11: 771px | cone_12: 544px
cone_0170.png,12,10059,cone_1: 1945px | cone_2: 1203px | cone_3: 1900px | cone_4: 324px | cone_5: 379px | cone_6: 574px | cone_7: 881px | cone_8: 393px | cone_9: 783px | cone_10: 735px | cone_11: 465px | cone_12: 477px
cone_0030.png,12,10252,cone_1: 1861px | cone_2: 1184px | cone_3: 1862px | cone_4: 372px | cone_5: 431px | cone_6: 655px | cone_7: 715px | cone_8: 906px | cone_9: 386px | cone_10: 933px | cone_11: 473px | cone_12: 474px
cone_0000.png,13,10272,cone_1: 1878px | cone_2: 1232px | cone_3: 1864px | cone_4: 336px | cone_5: 459px | cone_6: 634px | cone_7: 938px | cone_8: 934px | cone_9: 391px | cone_10: 407px | cone_11: 716px | cone_12: 88px | cone_13: 395px
cone_0160.png,12,10311,cone_1: 1883px | cone_2: 1229px | cone_3: 1845px | cone_4: 342px | cone_5: 561px | cone_6: 425px | cone_7: 408px | cone_8: 897px | cone_9: 920px | cone_10: 768px | cone_11: 546px | cone_12: 487px
cone_0085.png,13,10383,cone_1: 1865px | cone_2: 1183px | cone_3: 1810px | cone_4: 313px | cone_5: 371px | cone_6: 582px | cone_7: 884px | cone_8: 366px | cone_9: 701px | cone_10: 469px | cone_11: 912px | cone_12: 471px | cone_13: 456px
cone_0070.png,13,10408,cone_1: 1895px | cone_2: 1242px | cone_3: 1941px | cone_4: 333px | cone_5: 405px | cone_6: 579px | cone_7: 390px | cone_8: 927px | cone_9: 723px | cone_10: 898px | cone_11: 89px | cone_12: 491px | cone_13: 495px
cone_0045.png,13,10430,cone_1: 1255px | cone_2: 1875px | cone_3: 1888px | cone_4: 361px | cone_5: 614px | cone_6: 935px | cone_7: 395px | cone_8: 446px | cone_9: 723px | cone_10: 942px | cone_11: 455px | cone_12: 457px | cone_13: 84px
cone_0100.png,13,10512,cone_1: 1882px | cone_2: 1181px | cone_3: 1811px | cone_4: 312px | cone_5: 559px | cone_6: 379px | cone_7: 914px | cone_8: 460px | cone_9: 460px | cone_10: 922px | cone_11: 382px | cone_12: 705px | cone_13: 545px
cone_0115.png,13,10526,cone_1: 1849px | cone_2: 1156px | cone_3: 1848px | cone_4: 351px | cone_5: 413px | cone_6: 538px | cone_7: 888px | cone_8: 370px | cone_9: 576px | cone_10: 889px | cone_11: 472px | cone_12: 455px | cone_13: 721px
cone_0155.png,13,10530,cone_1: 1871px | cone_2: 1212px | cone_3: 1872px | cone_4: 319px | cone_5: 897px | cone_6: 374px | cone_7: 573px | cone_8: 390px | cone_9: 453px | cone_10: 567px | cone_11: 471px | cone_12: 740px | cone_13: 791px
cone_0050.png,14,10933,cone_1: 1264px | cone_2: 1903px | cone_3: 1901px | cone_4: 356px | cone_5: 607px | cone_6: 937px | cone_7: 423px | cone_8: 723px | cone_9: 472px | cone_10: 388px | cone_11: 942px | cone_12: 514px | cone_13: 95px | cone_14: 408px
cone_0225.png,11,12231,cone_1: 496px | cone_2: 650px | cone_3: 2796px | cone_4: 1410px | cone_5: 1090px | cone_6: 1642px | cone_7: 2832px | cone_8: 386px | cone_9: 474px | cone_10: 101px | cone_11: 354px
